2026-04-20 23:41:30,361 | INFO | backend.app | CORS origins: ['http://localhost', 'http://127.0.0.1']
2026-04-20 23:41:44,340 | INFO | attendance | attendance_marked student_key=S001 student_id=S001 student_name=Alice date=2026-04-20 time=23:41:44 session_id=session_A confidence=0.9100 source=face_recognition
2026-04-20 23:41:44,372 | INFO | attendance | attendance_marked student_key=S002 student_id=S002 student_name=Bob date=2026-04-20 time=23:41:44 session_id=session_1 confidence= source=face_recognition
2026-04-20 23:41:44,393 | INFO | attendance | attendance_marked student_key=S003 student_id=S003 student_name=Carol date=2026-04-20 time=23:41:44 session_id=morning confidence= source=face_recognition
2026-04-20 23:41:44,398 | INFO | attendance | attendance_marked student_key=S003 student_id=S003 student_name=Carol date=2026-04-20 time=23:41:44 session_id=afternoon confidence= source=face_recognition
2026-04-20 23:42:20,988 | INFO | backend.app | Face Recognition API starting up
2026-04-20 23:42:20,988 | INFO | backend.app | CORS origins: ['http://localhost', 'http://127.0.0.1']
2026-04-20 23:42:28,826 | INFO | attendance | attendance_marked student_key=S001 student_id=S001 student_name=Alice date=2026-04-20 time=23:42:28 session_id=session_A confidence=0.9100 source=face_recognition
2026-04-20 23:42:28,837 | INFO | attendance | attendance_marked student_key=S002 student_id=S002 student_name=Bob date=2026-04-20 time=23:42:28 session_id=session_1 confidence= source=face_recognition
2026-04-20 23:42:28,854 | INFO | attendance | attendance_marked student_key=S003 student_id=S003 student_name=Carol date=2026-04-20 time=23:42:28 session_id=morning confidence= source=face_recognition
2026-04-20 23:42:28,856 | INFO | attendance | attendance_marked student_key=S003 student_id=S003 student_name=Carol date=2026-04-20 time=23:42:28 session_id=afternoon confidence= source=face_recognition
2026-04-21 00:23:33,360 | INFO | backend.app | Face Recognition API starting up
2026-04-21 00:23:33,361 | INFO | backend.app | CORS origins: ['http://localhost', 'http://127.0.0.1']
2026-04-21 00:23:54,754 | INFO | backend.app | Face Recognition API starting up
2026-04-21 00:23:54,755 | INFO | backend.app | CORS origins: ['http://localhost', 'http://127.0.0.1']
2026-04-21 00:24:01,835 | INFO | backend.app | Face Recognition API starting up
2026-04-21 00:24:01,836 | INFO | backend.app | CORS origins: ['http://localhost', 'http://127.0.0.1']
2026-04-21 00:24:21,897 | INFO | backend.app | Face Recognition API starting up
2026-04-21 00:24:21,898 | INFO | backend.app | CORS origins: ['http://localhost', 'http://127.0.0.1']
2026-04-21 00:24:30,192 | INFO | backend.app | Face Recognition API starting up
2026-04-21 00:24:30,193 | INFO | backend.app | CORS origins: ['http://localhost', 'http://127.0.0.1']
2026-04-21 00:24:37,459 | INFO | backend.app | Face Recognition API starting up
2026-04-21 00:24:37,460 | INFO | backend.app | CORS origins: ['http://localhost', 'http://127.0.0.1']
2026-04-21 00:25:15,972 | INFO | backend.app | Face Recognition API starting up
2026-04-21 00:25:15,973 | INFO | backend.app | CORS origins: ['http://localhost', 'http://127.0.0.1']
2026-04-21 00:25:28,419 | INFO | backend.app | Face Recognition API starting up
2026-04-21 00:25:28,420 | INFO | backend.app | CORS origins: ['http://localhost', 'http://127.0.0.1']
2026-04-21 00:25:38,579 | INFO | backend.app | Face Recognition API starting up
2026-04-21 00:25:38,580 | INFO | backend.app | CORS origins: ['http://localhost', 'http://127.0.0.1']
